#,Nickname,Name,Buy-ins,Rebuys,Hits,Total Cost,Rebuys Cost,Total Winnings,Total Take,Playing Time,Prize Winnings,Bubble,Times Placed,Points,Overall Score,Average Placed,Average Points,Average Winnings,Average Rebuys,Average Hits,Average Take,Notes,ID
1,Bostnmike,Bostnmike,31,5,28.00,"$1,080.00",$150.00,"$1,410.00",$330.00,162h 16m 51s,"$1,320.00",6,13,0.00,62.5069,0.42,0.00,$45.48,0.16,0.90,$10.65,"""Play as tight as you want, Mike""",bostnmike.jpg
2,Hiro,Hiro,26,11,28.00,"$1,110.00",$330.00,$975.00,$-135.00,131h 50m 15s,$975.00,3,9,0.00,54.1541,0.35,0.00,$37.50,0.42,1.08,$-5.19,"""Ooooooh, but I have a prime number of outs!""",hiro.jpg
3,Li-Fo,Li-Fo,20,13,28.00,$990.00,$390.00,"$1,490.00",$500.00,118h 11m 35s,"$1,490.00",2,13,0.00,70.1397,0.65,0.00,$74.50,0.65,1.40,$25.00,"""What's the wost that can happen?""",li-fo.jpg
4,Ai-Dave,Ai-Dave,18,3,19.00,$630.00,$90.00,$625.00,$-5.00,106h 27m 25s,$625.00,2,5,0.00,56.4612,0.28,0.00,$34.72,0.17,1.06,$-0.28,"""Oh man! I caught some of that $hit!""",ai-dave.jpg
5,Cougar,Cougar,14,1,10.00,$450.00,$30.00,$540.00,$90.00,87h 1m 54s,$540.00,0,5,0.00,56.1129,0.36,0.00,$38.57,0.07,0.71,$6.43,"""Nice hand, you SUCK!""",cougar.jpg
6,Nasa Al,Nasa Al,10,2,17.00,$360.00,$60.00,$755.00,$395.00,75h 54m 15s,$755.00,0,7,0.00,71.6312,0.70,0.00,$75.50,0.20,1.70,$39.50,"""I'm running 5 minutes late.""",nasa-al.jpg
7,Ahmed,Ahmed,17,3,21.00,$600.00,$90.00,$730.00,$130.00,64h 46m 39s,$730.00,4,7,0.00,61.2455,0.41,0.00,$42.94,0.18,1.24,$7.65,"""Get in there, Man!""",ahmed.jpg
8,Providencemike,Providencemike,16,10,17.00,$780.00,$300.00,$510.00,$-270.00,62h 5m 35s,$510.00,0,5,0.00,53.8959,0.31,0.00,$31.88,0.63,1.06,$-16.88,"""I definitely should not be in this hand. I'm really hard to kill BTW.""",providencemike.jpg
9,Red,Red,14,12,23.00,$780.00,$360.00,$645.00,$-135.00,50h 59m 45s,$645.00,0,5,0.00,54.9514,0.36,0.00,$46.07,0.86,1.64,$-9.64,"""Glory, Glory, Man United.""",red.jpg
10,Nitro,Nitro,10,4,5.00,$420.00,$120.00,$120.00,$-300.00,40h 6m 15s,$120.00,3,1,0.00,52.1070,0.10,0.00,$12.00,0.40,0.50,$-30.00,"""I don't believe you, Tony.""",nitro.png
